Sample	Unique Reads	Duplicate Reads
HSF4_0H_1_1	17061022.0	58425218.0
HSF4_0H_1_2	17317055.0	58169185.0
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_1	18171941.0	57606599.0
HSF4_0H_1_ZKRN250030468-1A_23F5KYLT4_L8_2	18425394.0	57353146.0
HSF4_0H_2_1	15005229.0	45403810.0
HSF4_0H_2_2	15065524.0	45343515.0
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_1	16092265.0	44531526.0
HSF4_0H_2_ZKRN250030469-1A_23F5KYLT4_L8_2	16154646.0	44469145.0
HSF4_0H_3_1	14474473.0	43663808.0
HSF4_0H_3_2	14594450.0	43543831.0
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_1	15346562.0	43011352.0
HSF4_0H_3_ZKRN250030470-1A_23F5KYLT4_L8_2	15526352.0	42831562.0
HSF4_2H_1_1	15836433.0	46525775.0
HSF4_2H_1_2	15970167.0	46392041.0
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_1	16977159.0	45632862.0
HSF4_2H_1_ZKRN250030471-1A_23F5KYLT4_L8_2	17084782.0	45525239.0
HSF4_2H_2_1	14936919.0	44381790.0
HSF4_2H_2_2	15111632.0	44207077.0
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1	15837207.0	43706546.0
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2	15985811.0	43557942.0
HSF4_2H_3_1	14652134.0	41957205.0
HSF4_2H_3_2	14692988.0	41916351.0
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1	15494970.0	41326595.0
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_2	15533797.0	41287768.0
HSF4_4H_1_1	13690444.0	38869929.0
HSF4_4H_1_2	13762949.0	38797424.0
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1	14471390.0	38274964.0
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2	14570461.0	38175893.0
HSF4_4H_2_1	13361663.0	38104974.0
HSF4_4H_2_2	13377046.0	38089591.0
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1	14440167.0	37351640.0
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2	14486577.0	37305230.0
HSF4_4H_3_1	13804181.0	37599221.0
HSF4_4H_3_2	13748850.0	37654552.0
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1	14579978.0	37077825.0
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2	14547594.0	37110209.0
HSF4_6H_1_1	12325329.0	38341586.0
HSF4_6H_1_2	12321129.0	38345786.0
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1	13053289.0	37888610.0
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2	13057665.0	37884234.0
HSF4_6H_2_1	13377667.0	39592610.0
HSF4_6H_2_2	13455134.0	39515143.0
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_1	14212476.0	38974999.0
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_2	14271857.0	38915618.0
HSF4_6H_3_1	14185768.0	40413214.0
HSF4_6H_3_2	14133605.0	40465377.0
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_1	15055932.0	39747727.0
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_2	15057708.0	39745951.0
